text;label
 Kapitel 4: Implementierung der Optimierung der Visualisierung, Bedienung und Selbstregelung eines um Elektronik erweiterten Luftreinigungsgerätes   4.1 Einleitung  In den letzten Jahren hat das Bewusstsein für die Bedeutung der Luftqualität in Innenräumen zugenommen, was zu einer steigenden Nachfrage nach effektiven Luftreinigungsgeräten geführt hat. Die vorliegende Arbeit beschäftigt sich mit der Optimierung eines elektronisch erweiterten Luftreinigungsgerätes, wobei der Fokus auf der Verbesserung der Visualisierung, der Benutzerfreundlichkeit und der Selbstregelung liegt. Dieses Kapitel beschreibt die Implementierung der entwickelten Lösungen und deren Auswirkungen auf die Benutzererfahrung sowie die Effizienz des Gerätes.   4.2 Zielsetzung der Implementierung  Die Hauptziele der Implementierung waren:  1. Visualisierung der Luftqualitätsdaten: Die Integration eines benutzerfreundlichen Displays, das Echtzeitdaten zur Luftqualität anzeigt, sollte den Nutzern helfen, informierte Entscheidungen über die Nutzung des Gerätes zu treffen.  2. Verbesserung der Bedienbarkeit: Die Entwicklung einer intuitiven Benutzeroberfläche, die eine einfache und schnelle Steuerung der Funktionen des Luftreinigers ermöglicht, sollte die Interaktion mit dem Gerät erleichtern.  3. Selbstregelung des Gerätes: Die Implementierung eines intelligenten Regelungssystems, das auf Echtzeitdaten basiert, sollte die Effizienz des Luftreinigers erhöhen und den Energieverbrauch optimieren.   4.3 Visualisierung der Luftqualitätsdaten  Die Implementierung der Visualisierung begann mit der Auswahl eines geeigneten Displays. Ein hochauflösendes LCD-Display wurde gewählt, um eine klare und ansprechende Darstellung der Luftqualitätsdaten zu gewährleisten. Die Visualisierung umfasst folgende Elemente:  - Echtzeitdaten: Die aktuellen Werte für PM2.5, PM10, VOCs (flüchtige organische Verbindungen) und CO2 werden in Form von Diagrammen und Zahlen angezeigt. - Farbcodierung: Um die Benutzerfreundlichkeit zu erhöhen, wurde ein Farbschema implementiert, das die Luftqualität in Kategorien einteilt (z.B. grün für gut, gelb für moderat, rot für schlecht). - Historische Daten: Nutzer können auf eine Historie der Luftqualitätsdaten zugreifen, um Trends über die Zeit zu erkennen.  Die Implementierung dieser Funktionen wurde durch die Verwendung von Microcontroller-Technologie und geeigneten Sensoren realisiert, die eine präzise Messung der Luftqualität ermöglichten.   4.4 Verbesserung der Bedienbarkeit  Um die Bedienbarkeit des Luftreinigers zu optimieren, wurde eine benutzerfreundliche Schnittstelle entwickelt. Diese umfasst:  - Touchscreen-Bedienung: Ein kapazitiver Touchscreen ermöglicht eine einfache Navigation durch die Menüs und Einstellungen des Gerätes. Die Benutzeroberfläche wurde so gestaltet, dass sie intuitiv und selbsterklärend ist. - Voreinstellungen: Nutzer können verschiedene Betriebsmodi (z.B. Automatik, Turbo, Nachtmodus) auswählen, die auf ihre spezifischen Bedürfnisse zugeschnitten sind. - Sprachsteuerung: Eine zusätzliche Funktion zur Sprachsteuerung wurde integriert, um;1
      Die Entwicklung von Software ist ein komplexer Prozess, der eine sorgfältige Planung und Organisation erfordert. Besonders im studentischen Kontext, wo oft begrenzte Ressourcen und Zeit zur Verfügung stehen, ist ein effektives Aufgabenmanagement von entscheidender Bedeutung. Diese Arbeit widmet sich der Anforderungsanalyse für ein maßgeschneidertes Aufgabenmanagement-Tool, das speziell auf die Bedürfnisse von Studierenden im Bereich Software Engineering ausgerichtet ist. Ziel ist es, die Herausforderungen, die im Rahmen studentischer Projekte auftreten, zu identifizieren und eine Lösung zu entwickeln, die die Effizienz und Produktivität der Studierenden steigert.   Kontext und Relevanz  Im Rahmen des Software Engineerings stehen Studierende häufig vor der Herausforderung, verschiedene Aufgaben zu koordinieren, Fristen einzuhalten und die Zusammenarbeit im Team zu optimieren. Traditionelle Aufgabenmanagement-Tools bieten zwar einige Funktionen, sind jedoch oft nicht auf die spezifischen Bedürfnisse von Studierenden zugeschnitten. Eine maßgeschneiderte Lösung könnte beispielsweise Funktionen zur Unterstützung agiler Methoden, zur Visualisierung von Arbeitsabläufen und zur Integration von Lernressourcen beinhalten.   Methodik der Anforderungsanalyse  Die Anforderungsanalyse erfolgt in mehreren Phasen 1. BedarfsanalyseHierbei werden die spezifischen Anforderungen der Zielgruppe ermittelt. Um ein tiefes Verständnis für die Bedürfnisse der Studierenden zu gewinnen, werden Interviews und Umfragen durchgeführt. Die Ergebnisse zeigen, dass die Studierenden Wert auf eine intuitive Benutzeroberfläche, mobile Zugänglichkeit und die Möglichkeit zur Zusammenarbeit legen.  2. FunktionsspezifikationBasierend auf den Ergebnissen der Bedarfsanalyse werden die Kernfunktionen des Tools definiert. Dazu gehören   - AufgabenverwaltungErstellung, Zuweisung und Nachverfolgung von Aufgaben.    - TeamkommunikationIntegration von Kommunikationskanälen, um den Austausch zwischen Teammitgliedern zu fördern.    - FortschrittsverfolgungVisualisierung des Projektfortschritts durch Kanban-Boards oder Gantt-Diagramme.    - RessourcenmanagementBereitstellung von Links zu Lernmaterialien und Dokumentationen, die den Studierenden helfen, ihre Aufgaben effizient zu bewältigen.  3. Technische AnforderungenDie technische Machbarkeit der definierten Funktionen wird analysiert. Hierbei sind Aspekte wie die Wahl der Programmiersprache, der Datenbanktechnologie und der Benutzeroberfläche von zentraler Bedeutung. Die Entscheidung für eine webbasierte Lösung ermöglicht eine plattformübergreifende Nutzung, während moderne Frameworks wie React oder Angular eine ansprechende Benutzeroberfläche garantieren.   Implementierung der Lösung  Die Implementierung des Aufgabenmanagement-Tools erfolgt in mehreren Iterationen, wobei agile Methoden wie Scrum zur Anwendung kommen. In der ersten Iteration wird ein Minimal Viable Product (MVP) entwickelt, das die grundlegenden Funktionen zur Aufgabenverwaltung und Teamkommunikation umfasst. Feedback von den Nutzern wird kontinuierlich eingeholt und in die nächsten Iterationen integriert, um die Benutzerfreundlichkeit und Funktionalität des Tools zu verbessern.   Evaluation und Ausblick  Nach der Implementierung wird das Tool in einer real;1
Mit den Daten aus der Konfiguration und der URIdes hochgeladenen Bilds (s. Listing 3.5) wird eine Nachricht an das Thema mit der ID der Basisstation gesendet.  Diese wird von FCMempfangen und vom Server an die abonnierten Apps weitergegeben. Diese erhalten die Nachricht als Push-Benachrichtigung mit festgelegtem Titel und Textkörper. Ebenfalls wird alsdataein Payload mitgegeben, der in der Nachricht unsichtbar ist, allerdings von der App im Hintergrund ausgelesen werden kann. Dieser enthält neben den erwähnten Daten auch einen Zeitstempel zur Verifikation der Nachricht in der App, als auch die URIdes Katzenbilds. In Listing 3.6 ist ein Auszug aus dem Code zum Senden einer Nachricht zu sehen. Zu beachten ist, dass dies bereits eine Authentisierung mit Firebase voraussetzt. Damit nach Senden der Benachrichtigung auch eine Antwort des Nutzers in Form der Entscheidung über Türöffnung erhalten werden kann, muss es die Möglichkeit geben, Nachrichten zu empfangen. Da FCMnur in Richtung von Android Apps funktioniert und Antworten wenn möglich auch persistent abrufbar sein sollten, eignet sich hier die Cloud Firestore Datenbank. Zwar enthalten die Firebase Dienste auch eine Echtzeitdatenbank, diese ist allerdings nur marginal schneller und nicht gut über Python ansprechbar. Da die Standarddatenbank wie bereits im Ablauf in Abschnitt 3.1 erwähnt über eine Echt- zeitüberwachung verfügt, wird diese ausgewählt. Google stellt ein Tool bereit, um die Use-Cases der Datenbanktypen zu vergleichen und eine ideale Auswahl zu treffen.  In Listing 3.7 ist zu sehen, dass das Warten auf ein Update am Dokument rekursiv funktioniert und ein Event setzt.;0
"4.8 Optimierung des Bodenfeuchtigkeitssensors
Mit dem in Abbildung 4.2 gezeigten Sparkfun Bodenfeuchtigkeitssensor konnten keine
brauchbaren Messergebnisse erzielt werden. Teilweise veränderten sich die Messwerte willkürlich mit großen Schwankungen, ohne dass sich die äußeren Einflüsse, z.B. durch Gießen
der Pﬂanze, schlagartig änderten. Auch andere Nutzer von baugleichen Bodenfeuchtigkeits-
sensoren verschiedenster Hersteller berichten in Foren oder Amazon-Produktbewertungen
von diesen Problemen. In seinem Youtube-Video  zeigt Andreas Spiess die
Probleme von Bodenfeuchtigkeitssensoren dieses Typs auf.
Hinweis: Dieser Abschnitt behandelt lediglich die Probleme von Bodenfeuchtigkeitssenso-
ren baugleich zu dem in Abbildung 4.2 gezeigten Sparkfun Bodenfeuchtigkeitssensor. Es
wird zudem aufgezeigt, dass die kapazitiven Bodenfeuchtigkeitssensoren nicht von diesen
Problemen betroﬀen sind. Diese können daher im Rahmen der Studienarbeit problemlos
verwendet werden. Detaillierte Erklärungen zu den Problemen und zur Funktionsweise
der verschiedenen Sensortypen werden in den Youtube Videos   ausführlich
beschrieben. Auf eine detaillierte Betrachtung dieser Aspekte wird jedoch im Rahmen
dieser Studienarbeit verzichtet, da dies den Rahmen dieser Arbeit sprengen würde.
Ein grundlegendes Problem dieser Bodenfeuchtigkeitssensoren ist die Korrosion. Neben
unzuverlässigen Messergebnissen klagen viele Nutzer dieser Bodenfeuchtigkeitssensoren
über deren kurze Lebensdauer. Andreas Spiess simuliert das Problem der Korrosion in
seinem Youtube Video  im Schnelldurchlauf, indem ein Bodenfeuchtigkeitssen-
sor in ein mit Wasser gefülltes Glas gegeben wird, während der Bodenfeuchtigkeitssensor
durchgehend mit Spannung versorgt wird. Innerhalb kürzester Zeit steigen im Wasser
Bläschen auf und das Wasser verfärbt sich. Zudem korrodiert eines der beiden Beine des
Bodenfeuchtigkeitssensors (siehe rechtes Bein des in Abbildung 4.24 gezeigten Bodenfeuch-
tigkeitssensors). Gerade beim Einsatz der Bodenfeuchtigkeitssensoren in Gemüsebeeten
könnte sich dies beim Verzehr der Ernte negativ auf die Gesundheit auswirken.
Um dieser Korrosion vorzubeugen, soll laut Sparkfun der VCC-Pin des Bodenfeuchtigkeits-
sensorsnichtmit dem VCC-Pin des Microcontrollers (im Rahmen der Arbeit Adafruit
Feather M0) verbunden werden. Stattdessen soll der VCC-Pin des Bodenfeuchtigkeitssen-
sors mit einem Digital-Pin des Microcontrollers verbunden werden, der nur während einer
Messung auf HIGHgeschaltet wird und anschließend wieder auf LOWschaltet. Somit
liegt am Bodenfeuchtigkeitssensor keine Dauerspannung an, was der Korrosion des Sensors
vorbeugt. Komplett verhindern lässt sich die Korrosion des Sensors durch dieses Vorgehen
nicht. Die Lebensdauer eines Bodenfeuchtigkeitssensors kann durch diese Maßnahme jedoch
(je nach Anzahl der Messungen) drastisch verlängert werden.";0
In der vorliegenden Arbeit wurde die Definition und Anwendung produktorientierter Metriken der Softwarequalität umfassend untersucht. Produktorientierte Metriken stellen ein zentrales Element im Qualitätsmanagement von Software dar, da sie eine objektive Bewertung der Softwareprodukte ermöglichen und somit entscheidend zur Verbesserung der Softwareentwicklung beitragen können.   Die Analyse hat gezeigt, dass diese Metriken nicht nur zur Messung der technischen Eigenschaften von Software, wie beispielsweise der Modularität, Wiederverwendbarkeit und Wartbarkeit, herangezogen werden können, sondern auch zur Unterstützung von Entscheidungsprozessen innerhalb des Softwareentwicklungszyklus. Durch die systematische Erhebung und Auswertung produktorientierter Metriken lassen sich Schwachstellen identifizieren und gezielte Maßnahmen zur Qualitätsverbesserung ableiten.   Darüber hinaus wurde die Relevanz der Metriken im Kontext agiler Entwicklungsmethoden hervorgehoben. Diese Methoden erfordern eine flexible und iterative Herangehensweise an die Softwareentwicklung, wobei produktorientierte Metriken als wertvolle Werkzeuge dienen, um den Fortschritt zu messen und die Qualität kontinuierlich zu sichern.   Die Arbeit hat zudem die Herausforderungen und Limitationen bei der Anwendung dieser Metriken aufgezeigt, insbesondere in Bezug auf die Auswahl geeigneter Metriken und deren Interpretation. Es ist entscheidend, dass Entwickler und Projektmanager die Metriken im richtigen Kontext anwenden und dabei die spezifischen Anforderungen und Ziele ihrer Projekte berücksichtigen.  Insgesamt lässt sich festhalten, dass produktorientierte Metriken der Softwarequalität unverzichtbare Instrumente für die Sicherstellung und Verbesserung der Softwarequalität sind. Ihre gezielte Anwendung kann nicht nur zur Steigerung der Produktqualität beitragen, sondern auch die Effizienz und Effektivität der Softwareentwicklung erhöhen. Zukünftige Forschungen sollten sich darauf konzentrieren, neue Metriken zu entwickeln und bestehende Ansätze weiterzuentwickeln, um den sich ständig wandelnden Anforderungen der Softwareindustrie gerecht zu werden.;1
Im zweiten Schritt w erden die zu betrachtenden Komponenten ausgewählt.  Es gilt zu entscheiden  welche Teile eines Softwaresystems für die Messung relevant sind. Dazu können einzelne  Teilprojekte ausgewählt werden. In umfangreichen Systemen besteht zudem die Möglichkeit den  Fokus a uf die Kernkomponenten zu richten oder eine Stichprobe auszuwählen, die repräsentativ für  die Qualität des gesamten Produkts ist.    Anschließend wird die eigentliche Messung durchgeführt. Dies bedeutet die Berechnung  der  definierten Metriken für die zuvor ausgewählten Komponenten. Hierbei kommen ein oder mehrere  Tools zum Einsatz, die die benötigten Daten automatisiert sammeln und auf bereiten können. Da  diese Arbeit nicht auf bestehenden Strukturen und Prozessen aufbaut, ist auch die Auswahl der Tools  ein notwendiger Teil des Prozesses.    Im nächsten Schritt werden die Messergebnisse bewertet und die Daten der einzelnen Komponenten  verglichen.  Der Fokus liegt hierbei auf ungewöhnlichen oder herausstechenden Werten.  Dadurch  sollen zu komplexe beziehungsweise schlecht strukturierte Codeteile identifiziert w erden, die  möglicherweise einen negativen Einfluss auf die Codequalität haben. Neben einem internen  Vergleich zählt hierzu auch die Bewertung d er absoluten Softwarequalität in Hinblick auf objektive  Grenzwerte für einzelne Metriken.     Abschließend werden die zuvor identifizierten Komponenten analysiert und überprüft, ob die  Auffälligkeiten tatsächlich die Qualität der Software beeinträchtigen oder ob die herausstechenden  Messwerte gerechtfertigt sind. Auf Basis dieser Analyse wird entschieden wie mit der betroffenen  Komponente weiter verfahren wird. Falls die Auffälligkeiten tatsächlich auf ein Designproblem in der  Komponente hinweisen, wird diese zu einem Kandidaten für ein Refactoring.    Ziel des Messprozesses  ist es, anhand der Zuordnung von numerischen Werten zu  Softwarekomponenten, Aussagen über die Softwarequalität treffen zu können. Auf lange Sicht sollen   automatisierte Entscheidungen anhand der gemessenen Daten getroffen werden können. Diese  beziehen sich beispielweise auf die Zulassung oder Ablehnung von Änderungen innerhalb des  Quellcodes.  Da eine Langzeitbeobachtung bei einem studentischen Softwareprojekt nicht gegeben  ist, entfällt dieser Punkt in der Arbeit, da es nur sehr begrenzt möglich ist allgemeine Au ssagen  anhand von absoluten Messwerten zu treffen.  Ein Ziel, das in dieser Arbeit hingegen verfolgt werden  kann, ist die Erkennung von  Produktbereichen, in denen eine Verbesserung der Qualität besonders  erstrebenswert und lohnend  ist.         In Kapitel  2.1 Codequalität als Teil der Softwarequalität  wurde der Begriff Softwarequalität  eingeführt und die Möglichkeiten zur Messung dargelegt. Im Folgenden soll entschieden werden,  welche Faktoren angewendet werden können, um studentische Softwareprojekte zu bewerten.    Zwei der wichtigsten Werke zur Bewertung von Softwarequalität von McCall et al. und Boehm et al.  wurden bereits vorgestellt. Sie definieren einige Merkmale, die einen Einfluss auf die Qualität eines  Programms haben. Auch der durch die ISO/IEC etablierte Standard in Bezug auf Softwarequalität  orientiert sich an diesen Erkenntnissen. Alle haben gemeinsam, dass sie Softwarequalität nicht nur  im Rahmen der Qualität des Quellcodes betrachten, sondern den Fokus auf Faktoren wie  Zuverlässigkeit, Performance oder Portierbarkeit legen. Diese Bereiche sind für studentische Projekte  nicht vordergründig, da die entwickelte Software  nicht produktiv eingesetzt wird . Besonders zu  Beginn des Studiums liegt das Augenmerk bei der Bewertung von studentischen Abgaben , neben der  Korrektheit und Fehlerfreiheit des Programms, auf der Qualität des produzierten Quellcodes.  Aus  diesem Grund ist im Folgenden lediglich die interne Qualität der Software relevant.  Die zur Messung  dieser Faktoren benötigten Metriken können durch statische Analysetools bestimmt werden, ohne  dass der Quellcode ausgeführt werden muss.   Ein Faktor, der sehr eng mit der Codequalität verbunden ist, ist die Wartbarkeit. Diese wird direkt  und zu einem sehr hohen Grad von der Qualität des Quellcodes beeinflusst. Merkmale wie die  Einhaltung von Konventionen,  ausführliche Dokumentation und  eine klare Struktur fördern eine hohe  Wartbarkeit.  Es werden unter anderem eine schnelle Einarbeitung und einfache Erweiterbarkeit  erzielt.  Da die Wartbarkeit somit einen direkten Aufschluss auf die Codequalität zulässt, soll der  Faktor „Maintainablity“ als Ausgangspunkt der Bewertung herangezogen werden.  Hierbei sind auch  untergeordnete  Kriterien wie beispielsweise Erweiterbarkeit und Wiederverwendbarkeit von  Bedeutung, die die innere Qualität eines Produkts auszeichnen.;0
Das Zigbee-Protokoll wurde durch die ZigBEE Allianz auf Basis des IEEE 802.15.4 - Standards erstellt. Der Zigbee-Stack besteht dabei aus verschiedenen Blöcken, auch Schichten genannt, die ähnlich wie die Schichten des ISO/OSI-Modells Dienste für die jeweils darunter- oder darüberliegende Schicht anbieten (siehe Abbildung 4.1). Die Netzwerkschicht inkludiert dabei verschiedene Mechanismen, wie das Betreten oder Verlassen eines Netzwerks, die Frame-Sicherheit, das Routing oder die Pfadfindung. Die Anwendungssschicht besteht aus dem Application Support Sublayer , dem ZigBee Device Object (ZDO), dem Anwendungs-Framework und aus Anwendungs-Objekten, die durch den verschiedene Hersteller definiert werden. In einem Zigbee-Netzwerk sind dabei Stern, Mesh und Baum-Topoloien möglich. Zigbee unterstützt dabei drei Gerätetypen. Der ZigBee Coordinator ( ZC) entspricht dabei dem 802.15.4 WPANKoordinator, ZigBee Routers ( ZRs) sindFFDs und ZigBee End Devices (ZEDs) sindRFDs. Eine Unterart des Zigbee-Protokolls ist der Zigbee PRO -Standard, der sowohl auf Netzwerk-Ebene, als auch auf Anwendungsebene zusätzliche Sicherheitsfeatures integriert.;0
Eine Evaluierung    Die fortschreitende Entwicklung humanoider Roboter, wie Pepper von SoftBank Robotics, hat das Potenzial, die Interaktion zwischen Mensch und Maschine neu zu definieren. Insbesondere die Fähigkeit, benutzerdefinierte Anwendungen zu erstellen, die auf die spezifischen Bedürfnisse der Benutzer zugeschnitten sind, ist entscheidend für die Akzeptanz und den praktischen Einsatz solcher Roboter. In diesem Kontext wird der Aufbau eines Content Management Systems (CMS) zur Erstellung von Android-Apps für Pepper vorgestellt. Ziel dieses Projekts ist es, eine benutzerfreundliche Plattform zu schaffen, die es auch nicht-technischen Benutzern ermöglicht, interaktive Anwendungen für den Roboter zu entwickeln. Diese Arbeit konzentriert sich auf die , um die Effektivität, Benutzerfreundlichkeit und Funktionalität des entwickelten Systems zu bewerten.  Systemarchitektur  Das geplante CMS basiert auf einer modularen Architektur, die eine klare Trennung zwischen den verschiedenen Komponenten ermöglicht. Die Hauptbestandteile des Systems umfassen ein Frontend, das die Benutzeroberfläche für die App-Entwicklung bereitstellt, und ein Backend, das die Logik zur Verarbeitung und Speicherung von Anwendungsdaten übernimmt. Darüber hinaus wird eine Schnittstelle zur Kommunikation mit der Android-Plattform des Roboters implementiert, um eine nahtlose Integration der erstellten Apps zu gewährleisten.  Benutzerfreundlichkeit und Zugänglichkeit  Die Evaluierung des CMS begann mit einer Analyse der Benutzerfreundlichkeit. Hierbei wurde ein Prototyp entwickelt, der eine intuitive Drag-and-Drop-Oberfläche bietet, um die Erstellung von Anwendungen zu erleichtern. Um die Benutzerfreundlichkeit zu testen, wurden mehrere Benutzergruppen eingeladen, das System auszuprobieren. Die Ergebnisse der Usability-Tests zeigten, dass die Mehrheit der Teilnehmer in der Lage war, innerhalb kurzer Zeit funktionsfähige Apps zu erstellen, ohne vorherige Programmierkenntnisse zu besitzen. Dies deutet darauf hin, dass das CMS effektiv gestaltet ist, um auch technisch weniger versierten Nutzern den Zugang zur App-Entwicklung zu ermöglichen.  Funktionalität und Anpassungsfähigkeit  Ein weiterer wichtiger Aspekt der Evaluierung war die Funktionalität des CMS. Die entwickelten Anwendungen sollten in der Lage sein, die spezifischen Fähigkeiten von Pepper zu nutzen, wie z. B. Sprach- und Gestenerkennung. Hierzu wurden verschiedene Testanwendungen erstellt, die verschiedene Interaktionsszenarien simulierten. Die Ergebnisse zeigten, dass die Apps in der Lage waren, die gewünschten Funktionen erfolgreich auszuführen und eine positive Interaktion mit den Benutzern zu ermöglichen. Zudem wurde die Anpassungsfähigkeit des Systems getestet, indem Benutzer die Möglichkeit hatten, eigene Module zu integrieren. Diese Flexibilität stellte sicher, dass das CMS nicht nur für die aktuellen Bedürfnisse geeignet ist, sondern auch zukünftige Erweiterungen und Anpassungen ermöglicht.  Feedback und Verbesserungspotenzial  Im Rahmen der Evaluierung wurde auch Feedback von den Nutzern gesammelt, um Verbesserungspotenziale zu identifizieren. Während die Mehrheit der Benutzer mit der Funktionalität und Benutzerfreundlichkeit des CMS zufrieden war, wurden einige Bereiche für zukünftige Entwicklungen hervorgehoben. Dazu gehören die Implementierung weiterer Vorlagen für häufige Anwendungsfälle sowie;1
Die Analyse der gesammelten Messergebnisse  verfolgt verschiedene Ziele. Einerseits soll der aktuelle  Zustand der Codequalität beurteilt werden. Dabei ist es besonders interessant wie sich die  Messdaten der Metriken durch neue Funktionalitäten oder Refactorings verändern. Die Beobachtung  dieser Tendenzen in der Softwarequalität ist ein Teil der Projektüberwachung, die zur  Wartungsphase gehört. Aufbauend auf diesen Erkenntnissen können Commits gezielt überprüft und  Entwicklungen zu einem frühen Zeitpunkt überarbeitet werden, um die Codequalität zu steigern  beziehungsweise aufrecht zu erhalten. Neben der Analyse der bestehenden Software können in  kommerziellen Projekten zudem Vorhersagen für den zukünftigen Zustand des Systems gemacht   werden. Durch die Betrachtung der erwähnten Tendenzen bei der Ent wicklung der Codequalität  können Aufwandsschätzungen sowie Prognosen für Wartungskosten abgegeben werden. Bei  studentischen Projekten steht die Betrachtung des bestehenden Quellcodes und möglichen  Schwachstellen im Vordergrund. Im Folgenden  liegt der Fokus  daher auf einem  Erkenntnisgewinn  bezüglich der Codequalität .  Für die Analyse der Messergebnisse und die Ableitung verschiedener Erkenntnisse und  Schlussfolgerungen gibt es zwei Herangehensweisen. Einerseits kann e s sinnvoll sein die Werte der  einzelnen Klassen in Relation zueinander zu setzen und durch diesen Vergleich Schwachstellen und  problematische Komponenten zu identifizieren. Diese Methode kann dabei helfen Entscheidungen in  Hinblick auf  die Priorisierung  der Klassen  bei einem anstehenden Refactoring zu treffen . Eine Aussage  über die Gesamtqualität des Softwaresystems ist hierbei jedoch nur begrenzt möglich. Aus diesem  Grund ist es möglich absolute Grenzwerte bei der Betrachtung heranzuziehen. Im Gegensatz zu  einer  relativen Sichtweise  wird hierbei das Abschneiden einer Klasse direkt beurteilt.  Dadurch können  Erkenntnisse über Softwaresysteme gewonnen werden, deren Gesamtqualität besonders hoch oder  niedrig ist.;0
"Evaluierung der wissenschaftlichen Arbeit: ""Gegenüberstellung von Content-Management-Systemen""  Einleitung: Die vorliegende Arbeit widmet sich der vergleichenden Analyse von Content-Management-Systemen (CMS) und bietet eine umfassende Grundlage für die Auswahl eines geeigneten Systems für unterschiedliche Anwendungsfälle. In der heutigen digitalen Welt ist die effiziente Verwaltung von Inhalten entscheidend, weshalb die Auswahl des richtigen CMS eine zentrale Rolle spielt. Die Arbeit behandelt verschiedene CMS-Optionen, deren Funktionen, Vor- und Nachteile sowie spezifische Einsatzszenarien.  Aufbau und Struktur: Die Arbeit ist klar strukturiert und umfasst die folgenden Abschnitte: Einleitung, Methodik, Hauptteil (Vergleich der CMS), Diskussion der Ergebnisse und Fazit. Diese Gliederung ermöglicht es dem Leser, der Argumentation logisch zu folgen und die wesentlichen Punkte rasch zu erfassen.  Methodik: Die Methodik zur Analyse der CMS ist nachvollziehbar und solide. Es wurde ein Bewertungsrahmen entwickelt, der auf wichtigen Kriterien wie Benutzerfreundlichkeit, Flexibilität, Skalierbarkeit, Sicherheitsaspekte und Kosten basiert. Zudem werden sowohl qualitative als auch quantitative Daten herangezogen, was zu einer umfassenden Beurteilung der Systeme beiträgt.  Inhaltliche Tiefe: Die inhaltliche Tiefe ist bemerkenswert. Verschiedene CMS wie WordPress, Joomla, Drupal und Typo3 werden detailliert vorgestellt. Die Arbeit geht auf spezifische Aspekte jedes Systems ein, einschließlich ihrer Zielgruppen, typischen Einsatzmöglichkeiten und der vorhandenen Community-Unterstützung. Die Berücksichtigung von Trends im CMS-Bereich, wie Headless CMS und Cloud-Lösungen, zeigt ein aktuelles und umfassendes Verständnis des Themas.  Kritische Analyse: Ein besonders positiver Aspekt der Arbeit ist die kritische Auseinandersetzung mit den Vor- und Nachteilen der einzelnen Systeme. Die Autorin/der Autor macht mögliche Herausforderungen und Limitationen transparent, was dem Leser hilft, eine informierte Entscheidung zu treffen. Dennoch wäre eine tiefere Auseinandersetzung mit zukünftigen Entwicklungen im Bereich CMS wünschenswert, um den Leser auf potenzielle Veränderungen und Innovationen hinzuweisen.  Praktische Relevanz: Die praktische Relevanz der Arbeit ist hoch. Die Ergebnisse werden in Form von Empfehlungen zusammengefasst, die Schlüsselentscheidern in Unternehmen, gemeinnützigen Organisationen und anderen Institutionen bei der Auswahl eines CMS helfen können. Dies erhöht den Nutzen der Arbeit erheblich und positioniert sie als wertvolles Nachschlagewerk.  Schlussfolgerung: Insgesamt bietet die wissenschaftliche Arbeit zur „Gegenüberstellung von Content-Management-Systemen“ eine fundierte Analyse und ein tiefes Verständnis eines komplexen Themas. Sie ist gut recherchiert, klar strukturiert und praxisnah. Kleinere Ergänzungen und eine detailliertere Diskussion über zukünftige Trends im CMS-Bereich könnten die Arbeit weiter verbessern. Dennoch stellt sie einen wichtigen Beitrag zum Thema CMS dar und ist sowohl für Wissenschaftler als auch für Praktiker von großem Nutzen.";1
