text;labels;title
Die Zahl der alten Menschen in Deutschland stieg in den letzten Jahren stark an und wird auch in Zukunft noch steigen . Dabei ist das Erkennen von gestürzten und hilflosen älteren Personen im häuslichen Umfeld oft mit hohen Kosten oder geringer Privatsphäre verbunden. Um dieses Problem zu lösen, wurde im Rahmen dieser Studienarbeit evaluiert, ob ein Sturz mithilfe von Bluetooth kostengünstig detektiert werden kann. Dazu wurde sich mit der Positionsbestimmung mithilfe von Signalstärken beschäftigt. Diese Position kann daraufhin mit dem Verhaltensmuster der Person verglichen und auf Anomalien geprüft werden. Wird ein abnormales Verhalten erkannt, so kann eine angehörige Person oder der Pflegedienst informiert werden, was einer gestürzten Person das Leben retten kann.;0;1
1 Einleitung Alte Menschen wohnen oft alleine und können sich nach einem Sturz nicht selbst helfen. Deswegen existieren bereits Lösungen zur Sturzprävention sowie zur Sturzerkennung. Die bisherigen Lösungen zur Sturzerkennung gehen jedoch oft mit einer hohen Ungenauigkeit einher. So haben falsch negative sowie falsch positive Interpretationen der Produkte weitläufige Konsequenzen. Wenn eine alte Person fällt, der Alarm aber nicht auslöst, kann das dieser das Leben kosten. Aus diesem Grund sind die Erkennungen zurecht meist zu sensibel eingestellt. Da bei einem Alarm jedoch oft der Rettungsdienst gerufen wird, führt das zu einem hohen Kostenaufwand sowie zu weiteren Risiken. Wie aus einem Interview mit dem Rettungswachenleiter des ASB Orsenhausen-Schwendi Wolfgang Krems hervorging, belaufen sich so die Kosten für einen Fehleinsatz auf 150 bis 200 Euro. Außerdem sei eine Alarmfahrt mit Blaulicht meist mit einem höheren Risiko aller Verkehrsteilnehmer im Straßenverkehr verbunden, weil der Rettungsdienst die Einsatzstelle möglichst schnell erreichen muss und daher überdurchschnittlich schnell auf der Straße unterwegs sei. Zudem werden Ressourcen im Rettungsdienst, die teilweise anderswo benötigt werden, unnötig in Anspruch genommen. Aus diesem Grund wird eine zuverlässigere Sturzerkennung benötigt. In der vorliegenden Studienarbeit werden verschiedene Arten der Sturzerkennung beleuch- tet sowie eine Umsetzung der Sturzerkennung mithilfe von Bluetooth Signalen. Hierzu wird sich primär mit der Positionsbestimmung beschäftigt und diese mithilfe eines Konzep- taufbaus evaluiert. Die Positionsdaten werden dann verwendet, um das Verhaltensmuster zu erstellen. In Zukunft kann dieses auf Anomalien zu überprüft werden, um so einen Sturz zu erkennen.;0;1
2 Evaluation existierender Lösungen Bisherige Lösungsansätze zur Sturzerkennung gibt es viele. Im Folgenden werden die gängigsten aufgelistet und erklärt, sowie dessen Vor- und Nachteile im kurzen beleuchtet. 2.1 Sturzerkennung auf Basis von Kameras Bei dieser Art der Sturzerkennung werden Infrarotkameras in der Wohnung der Nutzer und Nutzerinnen installiert. Die Aufnahmen der Raumüberwachungskamera werden dann direkt an einen Server gesendet, welche dort ausgewertet werden. So kann unter anderem erkannt werden, ob eine Person gestürzt ist und sich nicht mehr aufrichten kann. Ein Anbieter, der eine solche Funktionalität anbietet, ist die Firma Kutter Protect GmbH mit ihrem Produkt SMART PROTECT. Dieses richtet sich hauptsächlich an Gewerbetreibende, um beispielsweise Büros, Industriebauten und Geschäftsgebäude zu überwachen. So ermöglicht das Produkt verschiedene Analysemöglichkeiten, um beispielsweise herumlungernde Men- schen, Einbrüche oder verletzte Mitarbeitende zu erkennen. Doch auch im privaten Bereich kann es Anwendung finden, da vor allem auch Stütze erkannt werden sollen.  Das Problem, das diese Methode jedoch kaum Einzug in der Sturzerkennung im privaten Raum findet, ist wahrscheinlich darauf zurückzuführen, dass die Überwachung enorm ist. So müssen für eine gut funktionierende Sturzerkennung auch Räume wie das Badezimmer mit Kameras ausgestattet sein, was einen sehr starken Eingriff in die Privatsphäre der Nutzenden und somit eine geringe Akzeptanz bedeutet. Um die Privatsphäre zu schützen, existiert ein Patent, das die Sturzerkennung mithilfe von Infrarotkameras mit eigener Logik vorsieht. Dabei wertet das lokale Kamerasystem selbst aus, ob eine Person gestürzt sein könnte, ohne die Sensordaten an einen weiteren Server zu senden. Wenn ein Sturz erkannt wird, werden Bildinformationen lediglich stark abstrahiert und mithilfe von groben geometrischen Formen verfremdet, an einen außenstehenden auswertenden Dienst geschickt. Erst wenn dann immer noch Verdacht auf einen Sturz besteht und die potenziell gestürzte Person keine Entwarnung gibt, wird ein Notruf abgesetzt und das klare Bild übertragen, um vom Rettungsdienst ausgewertet zu werden.;0;1
Der Vorteil ist hierbei, dass die Lösung sehr wenig in die Privatsphäre der Leute eingreift. Trotzdem ist die Akzeptanz eines solchen Systems schwer zu erreichen, da ebenso Kameras genutzt werden. Viele gerade ältere Menschen verstehen nicht, dass die Kamera eigentlich keine Bilder sendet und können sich somit trotzdem beobachtet fühlen. Eine weitere Möglichkeit der Sturzerkennung ist die mit Beschleunigungssensoren, welche am Körper getragen werden. Betroffene können die Sensoren beispielsweise als Kette, Gürtel oder Brosche tragen . Ein anderer Anwendungsfall ist der, dass Senioren eine Smart Watch verwenden, welche diese Funktion unterstützt. Dazu gehört beispielsweise die Apple Watch seit der Series 4 und die Apple Watch SE . Abbildung 2.1: Sturzwarnung auf einer Apple Watch SE oder Series 4 und neuer  Anhand der Daten des Beschleunigungssensors wird erkannt, ob eine Person gestürzt ist. Diese Methode liegt im mittleren Bereich des Preisspektrums. Die Beschleunigungssensoren an sich sind dabei nicht teuer, doch meist sind weitere Chips verbaut, um eine höhere Funktionalität zu bieten. Dazu gehört beispielsweise GPS, Bluetooth oder SIM-Karten Unterstützung. Der Nachteil eines solchen Armbands liegt darin, dass die betroffene Person dieses aktiv tragen muss und die Sturzerkennung andernfalls nicht funktioniert. Gerade zum Duschen, wo die Rutschgefahr sehr hoch ist, wird ein solches Gerät meist abgelegt. Außerdem kommt es bei der Nutzung von Beschleunigungssensoren oft zu einer Fehlinterpretation der ausgeführten Bewegung. So kann oft nicht zwischen einem Sturz und anderen Bewegungen unterschieden werden, wodurch in beiden Fällen der Alarm ausgelöst wird. Moderne Smart Watches bieten deswegen die Funktion, den Alarm noch rechtzeitig zu deaktivieren, um die Fehlerquote zu verringern. Trotzdem kann es für Personen mit Behinderungen oder geistigen Einschränkungen gerade im hohen Alter schwer sein, die Smart Watch so zu bedienen, dass der Alarm deaktiviert wird.;0;1
Ein weiterer Ansatz, Stürze zu erkennen, ist die Verwendung von intelligenten Fußböden. Diese messen den Druck einzelner Bereiche und können so feststellen, wo sich eine Person gerade befindet. Wenn nun erkannt wird, dass eine Person nicht mehr steht, sondern umgefallen ist, wird ein Alarm ausgelöst, sodass dieser geholfen werden kann.  Der Vorteil eines solchen Systems ist, dass es sehr zuverlässig Stürze erkennen kann und es nicht nötig ist, ein zusätzliches Gerät wie eine Smartwatch mit sich zu führen. Trotzdem ist diese Methode, verglichen mit anderen, sehr wenig verbreitet, der am häufigsten dafür genannte Grund ist der hohe Preis. Der gesamte Fußboden muss für eine solche Verwendung neu getauscht oder mit Fußmatten überdeckt werden. Schlussendlich besteht die Möglichkeit, Stürze anhand der Bluetooth-Signalstärke zu erkennen. Die Idee ist, ein Fitness-Armband mithilfe dessen Signalstärke zu orten und anhand dieser Daten Anomalien zu erkennen, welche auf einen Sturz hindeuten. Da solche bluetoothfähigen Armbänder bei aktiviertem Bluetooth in gewissen Zeitabständen ein Signal ausgeben, soll dieses genutzt werden, um an verschiedenen Punkten im Raum dessen Stärke zu bestimmen. Der Vorteil einer solchen Lösung ist, dass sie extrem freundlich der Privatsphäre gegenüber ist, da lediglich Daten zur Ermittlung der Position innerhalb der Wohnung ermittelt werden und keine Bilder oder ähnliche sensible Daten. Außerdem besitzt diese Art der Sturzerkennung das Potenzial, sehr kostengünstig zu sein. So sind Bluetooth Empfänger- Chips nicht teuer und ein Fitness-Armband, insofern nicht bereits eigene Geräte genutzt werden können, ist ebenfalls schon ab 20 Euro erhältlich . Aufgrund dessen, dass diese Methode bereits noch wenig erforscht ist, wird in der vorlie- genden Studienarbeit ein Minimum Viable Product (MVP) dieser Art der Sturzerkennung erarbeitet.;0;1
Um die Position einzelner Bluetooth Low Energy ( BLE) Geräte zu bestimmen, sollte an mehreren Punkten im Raum die Signalstärke des vom Gerät gesendeten Signals gemessen werden. Diese wird als Received Signal Strength Indicator ( RSSI) bei einem Bluetooth Scan zurückgegeben. Der RSSIbeschreibt dabei nicht direkt die Leistung, mit welcher gesendet wurde beziehungsweise, wie stark das Signal ist, sondern den Verlust des Signals über die Entfernung. Das bedeutet, Aspekte wie beispielsweise die Art der Antenne oder die Empfindlichkeit des empfängers müssen zusätzlich berücksichtigt werden . Die Einheit ist dabei so aufgebaut, dass ein Wert von 0 einen perfekten Empfang beschreibt und je schlechter das Signal wird, desto weiter geht der Wert ins Negative. Da je nachdem wie Leistungsstark der aufzuspürende Beacon ist, der RSSIunterschiedlich ist, müssen die Werte mithilfe von mehreren verteilten Empfängern, im weiteren Verlauf Locator genannt, als relative Werte verwendet werden. Ist das Signal an einem einzelnen Locator stärker als an den anderen, so befindet sich der Beacon in dessen Nähe. Auf diese Weise soll die grobe Position von Personen bestimmt werden können. BeaconLocator LocatorBeaconLocator LocatorRSSI: -50 RSSI: -70 Wie in Abbildung 3.1 beispielhaft beschrieben, befindet sich der Beacon im Raum näher am linken als am rechten Locator. Dabei ist zu beachten, dass die Leistungsdichte von Funksignalen nicht linear abnimmt. Der Grund dafür wird verständlich, wenn man sich den Weg des Signals nicht nur als Linie wie in Abbildung 3.1 vorstellt. In der Realität wird das Signal von der omnidirektionalen Antenne in alle Richtungen gesendet. Dies ist in Abbildung 3.2 dargestellt. Verdoppelt sich der Abstand eines Beacons, so verdoppelt sich die Dämpfung nicht nur, der Umfang des Kreises1nimmt quadratisch zu, wie in der folgenden Abbildung zu sehen ist. Hier zur Vereinfachung als Kreis und nicht als Kugel beschrieben. Sowohl der Umfang eines Kreises als auch die Oberfläche einer Kugel nimmt quadratisch zu dem Radius zu. Solange diese Eigenschaften der Beacons beachtet werden, kann somit die Position einer Person im Raum bestimmt werden. Im Folgenden wird dieses Konzept technisch umgesetzt, dabei liegt der Fokus auf der Wahrung von Privatsphäre sowie der Reduzierung von Kosten im Vergleich zu alternativen Produkten.;0;1
Wie in Abbildung 4.1 zu sehen ist, besteht das Modell zur groben Lokalisierung aus mindes- tens drei Locators und einem Server. Die Locators erheben die Daten zur Empfangsstärke, woraufhin diese Daten an den Server geschickt werden. Dieser kann daraufhin aufgrund der relativen Verteilung der Signalstärken eine ungefähre Position des Beacons zwischen den Locators ausrechnen.;0;1
4.1 Aufbau der Locators Der Locator soll die Funktion besitzen, BLEScans durchzuführen und benötigt daher einen Bluetooth-Chip. Außerdem ist es von Vorteil, wenn die Daten per WLAN verschickt werden können, wodurch ein WLAN-Modul benötigt wird. Diese beiden Eigenschaften finden sich beispielsweise im Mikrocontroller ESP32 wieder . Um den ESP32 nun als Locator einsatzfähig zu machen, wird er mit einer Software bespielt, die wie folgt arbeitet. Der Locator scannt dauerhaft nach BLESignalen. Diese werden von den meisten Bluetooth- Geräten in regelmäßigen Abständen ausgegeben, um sich anderen Geräten gegenüber zu zeigen. Wenn ein Locator ein solches Signal empfängt, ermittelt er die MAC-Adresse des Beacons und dessen ankommende Signalstärke, woraufhin diese Informationen mithilfe von Message Queuing Telemetry Transport (MQTT) an den Server geschickt werden. Anschließend werden die Daten serverseitig von einem MQTT Server einer Mosquitto Instanz entgegengenommen. Diese wurde gewählt, weil das Protokoll für kleine Geräte mit wenig Overhead optimiert ist und eine einfache Bedienung mit sich bringt. Auf die MQTT Nachrichten hört daraufhin eine Instanz von Telegraf. Diese ist ein Metrik-Kollektor für Influx Datenbanken. Die einzige Aufgabe der Telegraf-Software ist somit, die Daten aus dem MQTT Server in die InfluxDB zu übertragen. Für InfluxDB wurde sich aufgrund dessen entschieden, dass die Daten ohne zusätzlichen Aufwand vom MQTT Server in die Datenbank übertragen werden können, die Daten in zeitlich korrekter Reihenfolge abgespeichert werden, sowie dass InfluxDB viele Funktiona- litäten zur Datenvisualisierung liefert, welche während der Entwicklung die Fehlersuche erleichtern. Ein Beispiel der visualisierten Daten, ist in der folgenden Abbildung zu sehen.;0;1
Für die späteren Auswertungen mussten jedoch eigens erstellte Visualisierungen benutzt werden, da dieses Dashboard nicht für komplexe Darstellungen ausgelegt ist. Die einzige Möglichkeit hierfür wäre die dazugehörige Skriptsprache Flux, welche jedoch proprietär ist.  Für eine datensparsame Umsetzung war außerdem wichtig, dass die MAC Adressen der Geräte nicht dauerhaft gespeichert werden. Dafür bietet InfluxDB eine Funktion an, dass für Datensätze sogenannte „data retention policies“ erstellt werden können. Diese Funktionalität legt fest, wie lange Daten auf dem Server gespeichert werden, und wird in der folgenden Abbildung dargestellt.;0;1
In einem weiteren Entwicklungsschritt können die MAC Adressen durch ein Hash Verfahren anonymisiert werden, dieses Verfahren wurde allerdings noch nicht implementiert, da es die Fehlersuche während der Entwicklung erschwert. So wurden die Adressen häufig, mit den Adressbereichen, welche durch Hersteller registriert werden müssen, abgeglichen, um das vom Beacon gefundene Gerät zu identifizieren. Um den benötigten Speicherplatz weiter reduzieren zu können, wäre es zusätzlich möglich den Hash der MAC Adresse nicht für jeden Datenbankeintrag zu speichern, sondern diesen mithilfe eines Keys auszulagern. Ein weiterer Vorteil dieser Architektur ist die Skalierbarkeit. Da alleSoftware-Komponenten in einem Kubernetes Cluster eingesetzt sind, lassen sich die Anwendungen sowohl bei Cloudanbietern wie Amazon Web Services oder Microsoft Azure als auch in bestehender Infrastruktur verwalten. Außerdem ist es möglich, das System mit allen Komponenten auf kleinen Einplatinencomputern wie beispielsweise auf einem Raspberry Pi mittels MicroK8s zu verwenden. Dabei werden die gleichen Container Images wie auch in größeren Deploy- ments verwendet, somit sind Updates vereinfacht und die Administration unterscheidet sich lediglich in der Anzahl der Knoten, also wie leistungsstark und ausfallsicher das System ist. Mit diesem Ansatz können Kunden, bei welchen der Datenschutz einen wichtigeren Faktor als den ohnehin schon niedrigen Preis darstellt, als Kunden gewonnen werden, da das System und die Daten auf eigenen Servern gehostet werden können.;0;1
